title,year,journal,authors,abstract,David,Najmul,Lia,Agreement
Prevalence of Lassa virus among rodents trapped in three South-South States of Nigeria,NA,Journal of Vector Borne Diseases,"Agbonlahor, D. E. and Erah, A. and Agba, I. M. and Oviasogie, F. E. and Ehiaghe, A. F. and Wankasi, M. and Eremwanarue, O. A. and Ehiaghe, I. J. and Ogbu, E. C. and Iyen, R. I. and Abbey, S. and Tatfeng, M. Y. and Uhunmwangho, J.","Background & objectives:ÊLassa fever has been endemic in Nigeria since 1969. The rodentÊMastomys natalensisÊhas been widely claimed to be the reservoir host of the Lassa virus. This study was designed to investigate the distribution of species of rodents in three states (Edo, Delta and Bayelsa) of Nigeria and to determine the prevalence of Lassa virus amongst trapped rodents in the selected states.ÊMethods:Rodents were trapped during November 2015 to October 2016 from the three states in South-South region of Nigeria. Total RNA was extracted from the blood collected from the trapped rodents. Reverse transcription polymerase chain reaction (RT-PCR) was used to confirm the presence of Lassa virus in the rodents.ÊResults:ÊThe results revealed that six species of rodents were predominantly present in these geographical locations.ÊMus musculusÊ(39.4%) had the highest prevalence, closely followed byÊRattus rattusÊ(36.1%),ÊR. fuscipus(20.3%),ÊM. natalensisÊ(2%),ÊMyosoricinae soricidaeÊ(1.2%) andÊR. norvegicusÊ(1%). The overall positivity (carrier rate) of Lassa virus was 1.6% amongst the 1500 rodents caught in the three states. In Edo and Delta States, the RT-PCR results showed presence of Lassa virus inÊR rattus, M. musculusÊandÊM. natalensis. On the other hand, onlyÊM. natalensisÊwas detected with the virus, amongst the species of rodents caught in Bayelsa State.ÊM. natalensisÊrecorded the highest Lassa virus among rodents trapped in Edo (87%), Delta (50%) and Bayelsa (11%) States respectively.ÊInterpretation & conclusion:ÊThe rather low Lassa virus positive among rodents in Bayelsa State of Nigeria may explain the absence of reports of outbreak of Lassa fever over the past 48 yr in the state. The results also confirmed that apart fromÊMastomys natalensis, other rodents such asÊRattus rattusÊandÊMus musculusÊmay also serve as reservoirs for Lassa virus. From the findings of this cross-sectional study, it was concluded that a more comprehensive study on rodents as reservoir host, need to be undertaken across the entire states of Nigeria, for better understanding of the epidemiology and endemicity of Lassa fever.",Include,Include,Include,3
The structure of rodent faunas associated with arenaviral infections,1975,Bulletin of the World Health Organization,"Arata, A. A. and Gratz, N. G.","The biogeographical examination of rodent faunas associated with arenaviruses reveals two distinct patterns. Lymphocytic choriomeningitis (LCM) virus is associated primarily with a single murid species, Mus musculus, although it is also known to cause laboratory infections in other species. On the other hand, the arenaviruses from the Western hemisphere are associated exclusively with a large and diverse group of cricetid rodents. Studies to date, although limited, have not demonstrated their association with any other rodent groups, although in South America alone at least twelve other rodent families are known. Evidence at the present time indicates that Lassa virus is only associated with a common African rodent, Mastomy natalensis. From this limited evidence it is as yet difficult to determine whether Lassa virus will follow the pattern of the South American arenaviruses, most of which are known from several species of rodents, or that of LCM virus, which appears to be associated with only a single rodent species. In this paper, the history and structure of South American, Eurasian, and African rodent faunas are described.",Exclude,Maybe,Include,>1
A rapid fluorometric assay for the proteolytic activity of SKI-1/S1P based on the surface glycoprotein of the hemorrhagic fever Lassa virus,2002,FEBS Letters,"Basak, A. and Chretien, M. and Seidah, N. G.","The subtilase subtilisin kexin isozyme-1 (SKI-1)/site 1 protease (S1P), has been implicated in the processing of Lassa virus glycoprotein C (GP-C) precursor into GP1 and GP2 that are responsible for viral fusion with the host cell membrane. Here, we studied in vitro the kinetics of this cleavage by hSKI-1 using an intramolecularly quenched fluorogenic (IQF) peptide, Q-GPC<sup>251-263</sup> [Abz-<sup>251</sup>Asp-Ile-Tyr-Ile-Ser-Arg-Arg-Leu-LeuGly-Thr-Phe-Thr <sup>263</sup>-3-NitroTyr-Ala-CONH<inf>2</inf>], containing the identified site. The measured V<inf>max (app)</inf>/K<inf>m (app)</inf> was compared to those for other IQF SKI-substrates. Q-GPC<sup>251-263</sup> is cleaved 10-fold more efficiently than the previously known best SKI-substrate, Q-hproSKI<sup>134-142</sup>. This study confirmed the role of SKI-1 in GP-C processing and provides a novel, rapid and efficient enzymatic assay of SKI-1. Â© 2002 Federation of European Biochemical Societies. Published by Elsevier Science B.V. All rights reserved.",Exclude,Maybe,Include,>1
Reverse genetics systems as tools to overcome the genetic diversity of Lassa virus,NA,Current Opinion in Virology,"Beitzel, B. and Hulseberg, C. E. and Palacios, G.","Lassa virus is endemic in a large area of sub-Saharan Africa, and exhibits a large amount of genetic diversity. Of the four currently recognized lineages, lineages IÐIII circulate in Nigeria, and lineage IV circulates in Sierra Leone, Guinea, and Liberia. However, several newly detected lineages have been proposed. LASV genetic diversity may result in differences in pathogenicity or response to medical countermeasures, necessitating the testing of multiple lineages during the development of countermeasures and diagnostics.",Exclude,Maybe,Include,>1
Temporal Progression of Lesions in Guinea Pigs Infected With Lassa Virus,2017,Veterinary Pathology,"Bell, T. M. and Shaia, C. I. and Bearss, J. J. and Mattix, M. E. and Koistinen, K. A. and Honnold, S. P. and Zeng, X. and Blancett, C. D. and Donnelly, G. C. and Shamblin, J. D. and Wilkinson, E. R. and Cashman, K. A.","Logistical and biosafety concerns can make it difficult to obtain representative collections of divergent LASV clades for comparison studies. For example, lack of a cold chain in remote areas, or shipping restrictions on live viruses can prevent the dissemination of natural virus isolates to researchers. Reverse genetics systems that have been developed for LASV can facilitate acquisition of hard-to-obtain LASV strains and enable comprehensive development of medical countermeasures.",Exclude,Include,Include,>1
A Review of Zoonotic Disease Surveillance Supported by the Armed Forces Health Surveillance Center,2012,Zoonoses and Public Health,"Burke, R. L. and Kronmann, K. C. and Daniels, C. C. and Meyers, M. and Byarugaba, D. K. and Dueger, E. and Klein, T. A. and Evans, B. P. and Vest, K. G.","The Armed Forces Health Surveillance Center (AFHSC), Division of Global Emerging Infections Surveillance and Response System conducts disease surveillance through a global network of US Department of Defense research laboratories and partnerships with foreign ministries of agriculture, health and livestock development in over 90 countries worldwide. In 2010, AFHSC supported zoonosis survey efforts were organized into four main categories: (i) development of field assays for animal disease surveillance during deployments and in resource limited environments, (ii) determining zoonotic disease prevalence in high-contact species which may serve as important reservoirs of diseases and sources of transmission, (iii) surveillance in high-risk human populations which are more likely to become exposed and subsequently infected with zoonotic pathogens and (iv) surveillance at the humananimal interface examining zoonotic disease prevalence and transmission within and between human and animal populations. These efforts have aided in the detection, identification and quantification of the burden of zoonotic diseases such as anthrax, brucellosis, Crimean Congo haemorrhagic fever, dengue fever, Hantaan virus, influenza, Lassa fever, leptospirosis, melioidosis, Q fever, Rift Valley fever, sandfly fever Sicilian virus, sandfly fever Naples virus, tuberculosis and West Nile virus, which are of military and public health importance. Future zoonotic surveillance efforts will seek to develop local capacity for zoonotic surveillance focusing on high risk populations at the humananimal interface.",Include,Include,Include,3
Recombinant Lassa Virus Expressing Green Fluorescent Protein as a Tool for High-Throughput Drug Screens and Neutralizing Antibody Assays,2018,Viruses,"Cai, Y. and Iwasaki, M. and Beitzel, B. F. and Yu, S. and Postnikova, E. N. and Cubitt, B. and DeWald, L. E. and Radoshitzky, S. R. and Bollinger, L. and Jahrling, P. B. and Palacios, G. F. and de la Torre, J. C. and Kuhn, J. H.","Lassa virus (LASV), a mammarenavirus, infects an estimated 100,000Ð300,000 individuals yearly in western Africa and frequently causes lethal disease. Currently, no LASV-specific antivirals or vaccines are commercially available for prevention or treatment of Lassa fever, the disease caused by LASV. The development of medical countermeasure screening platforms is a crucial step to yield licensable products. Using reverse genetics, we generated a recombinant wild-type LASV (rLASV-WT) and a modified version thereof encoding a cleavable green fluorescent protein (GFP) as a reporter for rapid and quantitative detection of infection (rLASV-GFP). Both rLASV-WT and wild-type LASV exhibited similar growth kinetics in cultured cells, whereas growth of rLASV-GFP was slightly impaired. GFP reporter expression by rLASV-GFP remained stable over several serial passages in Vero cells. Using two well-characterized broad-spectrum antivirals known to inhibit LASV infection, favipiravir and ribavirin, we demonstrate that rLASV-GFP is a suitable screening tool for the identification of LASV infection inhibitors. Building on these findings, we established a rLASV-GFP-based high-throughput drug discovery screen and an rLASV-GFP-based antibody neutralization assay. Both platforms, now available as a standard tool at the IRF-Frederick (an international resource), will accelerate anti-LASV medical countermeasure discovery and reduce costs of antiviral screens in maximum containment laboratories.",Exclude,Maybe,Include,>1
A DNA vaccine delivered by dermal electroporation fully protects cynomolgus macaques against Lassa fever,2017,Human Vaccines and Immunotherapeutics,"Cashman, K. A. and Wilkinson, E. R. and Shaia, C. I. and Facemire, P. R. and Bell, T. M. and Bearss, J. J. and Shamblin, J. D. and Wollen, S. E. and Broderick, K. E. and Sardesai, N. Y. and Schmaljohn, C. S.","Lassa virus (LASV) is an ambisense RNA virus in the Arenaviridae family and is the etiological agent of Lassa fever, a severe hemorrhagic disease endemic to West and Central Africa.1,2 There are no US Food and Drug Administration (FDA)-licensed vaccines available to prevent Lassa fever.1,2 in our previous studies, we developed a gene-optimized DNA vaccine that encodes the glycoprotein precursor gene of LASV (Josiah strain) and demonstrated that 3 vaccinations accompanied by dermal electroporation protected guinea pigs from LASV-associated illness and death. Here, we describe an initial efficacy experiment in cynomolgus macaque nonhuman primates (NHPs) in which we followed an identical 3-dose vaccine schedule that was successful in guinea pigs, and a follow-on experiment in which we used an accelerated vaccination strategy consisting of 2 administrations, spaced 4 weeks apart. In both studies, all of the LASV DNA-vaccinated NHPs survived challenge and none of them had measureable, sustained viremia or displayed weight loss or other disease signs post-exposure. Three of 10 mock-vaccinates survived exposure to LASV, but all of them became acutely ill post-exposure and remained chronically ill to the study end point (45 d post-exposure). Two of the 3 survivors experienced sensorineural hearing loss (described elsewhere). These results clearly demonstrate that the LASV DNA vaccine combined with dermal electroporation is a highly effective candidate for eventual use in humans. Copyright Â© 2017 Kathleen A. Cashman, Eric R. Wilkinson, Carl I. Shaia, Paul R. Facemire, Todd M. Bell, Jeremy J. Bearss, Joshua D. Shamblin, Suzanne E. Wollen, Kate E. Broderick, Niranjan Y. Sardesai, and Connie S. Schmaljohn. Published with license by Taylor & Francis.",Include,Include,Exclude,>1
DNA vaccines elicit durable protective immunity against individual or simultaneous infections with Lassa and Ebola viruses in Guinea pigs,2017,Human Vaccines and Immunotherapeutics,"Cashman, K. A. and Wilkinson, E. R. and Wollen, S. E. and Shamblin, J. D. and Zelko, J. M. and Bearss, J. J. and Zeng, X. and Broderick, K. E. and Schmaljohn, C. S.","We previously developed optimized DNA vaccines against both Lassa fever and Ebola hemorrhagic fever viruses and demonstrated that they were protective individually in guinea pig and nonhuman primate models. In this study, we vaccinated groups of strain 13 guinea pigs two times, four weeks apart with 50 mg of each DNA vaccine or a mock vaccine at discrete sites by intradermal electroporation. Five weeks following the second vaccinations, guinea pigs were exposed to lethal doses of Lassa virus, Ebola virus, or a combination of both viruses simultaneously. None of the vaccinated guinea pigs, regardless of challenge virus and including the coinfected group, displayed weight loss, fever or other disease signs, and all survived to the study endpoint. All of the mock-vaccinated guinea pigs that were infected with Lassa virus, and all but one of the EBOV-infected mock-vaccinated guinea pigs succumbed. In order to determine if the dual-agent vaccination strategy could protect against both viruses if exposures were temporally separated, we held the surviving vaccinates in BSL-4 for approximately 120 days to perform a cross-challenge experiment in which guinea pigs originally infected with Lassa virus received a lethal dose of Ebola virus and those originally infected with Ebola virus were infected with a lethal dose of Lassa virus. All guinea pigs remained healthy and survived to the study endpoint. This study clearly demonstrates that DNA vaccines against Lassa and Ebola viruses can elicit protective immunity against both individual virus exposures as well as in a mixed-infection environment. Copyright Â© 2017 Kathleen A. Cashman, Eric R. Wilkinson, Suzanne E. Wollen, Joshua D. Shamblin, Justine M. Zelko, Jeremy J. Bearss, Xiankun Zeng, Kate E. Broderick, and Connie S. Schmaljohn.",Exclude,Include,Exclude,>1
Zoonotic aspects of arenavirus infections,2010,Veterinary Microbiology,"Charrel, R. N. and de Lamballerie, X.","To date, the International Committee for Taxonomy of Viruses recognizes that the family Arenaviridae contains a unique genus Arenavirus that includes 22 viral species. There are nine additional arenaviruses that either have been discovered recently, or which taxonomic status remains pending. Arenaviruses have been classified according to their antigenic properties into two groups, the Lassa-Lymphocytic choriomeningitis (LCM) serocomplex and the Tacaribe serocomplex which has been further divided into four evolutionary lineages. Each arenavirus is more or less tightly associated with a mammal host. The distribution of the host dictates the distribution of the virus. Humans may become infected by arenaviruses through direct contact with infected rodents, including bites, or through inhalation of infectious rodent excreta and secreta. Lassa, Junin, Machupo, Guanarito, and Sabia viruses are known to cause a severe hemorrhagic fever, in western Africa, Argentina, Bolivia, Venezuela, and Brazil, respectively. Infection by LCM virus can result in acute central nervous system disease, congenital malformations, and infection in organ transplantation recipients. Detection of arenaviruses in their animal host can be achieved by virus isolation, and has recently taken advantage of PCR-based techniques. The approach based on consensus degenerate primers has shown efficient for both detection of known arenaviruses, and discovery of new arenaviruses. Â© 2009 Elsevier B.V. All rights reserved.",Include,Include,Include,3
